pname,society,price,price_per_sqft,total_area,area_sqm,area_type,possesion,description,Dimensions,Price,Address,Facing,No. of Open Sides,Overlooking,Possession,Boundary wall,Gated Society,Width of facing road,Authority approved,Floors Allowed For Construction,Corner Property
"Residential land / Plot in Salaiya, Bhopal",BDA Sardar Vallab Bhai Patel Apsi Karar Yojna,₹1.51 Cr,"₹6,494 /sqft","2,325 sqft",(216 sqm),Plot Area,Ready To Move,"Check out this plot for sale in salaiya, one of the best locations in bhopal. The plot is around super built up area of 2325 sq.Ft. In size. Construction on this property can be easily done upto 3 floors. Immediately, possession of property can be transferred. Currently the nature of ownership of the property is leasehold. The expected price for the property is just 1.51 crore and it is negotia...","Plot area 2325
(216 sq.m.)
l x b : 59.00 ft.(17.98 mt.) x 39.00 ft.(11.89 mt.)  
sq.ft.","₹ 1.51 Crore
@ 6,494 per sq.ft. (Negotiable) View Price Details","BDA Sardar Vallab Bhai Patel Apsi Karar Yojna
Salaiya, Bhopal",East,1.0,Park/Garden,Immediate    View Construction Status,,,,,3 Floors,
"Residential land / Plot in Huzur, Bhopal",BDA Aerocity Phase 1,₹30.5 Lac,"₹2,203 /sqft","1,452 sqft",(135 sqm),Plot Area,Ready To Move,"968 ,1452,2400 sq ft residential & commercial plot's in bda aerocity on most prime location's a-B-C-E-F-G-H-K sectors at very reasonable price We have 60+ plots in all sectors Some garden & corner facing plots It's available in very low market rate. Surroundings - It park (212 acre) , commercial hub medical college, rkdf university,rgpv univercity, bhopal airport,nh12 highway All plots are free...","Plot area 1452
(134.9 sq.m.)  
sq.ft.","₹ 30.5 Lac
@ 2,203 per sq.ft. View Price Details","BDA Aerocity Phase 1
Huzur, Bhopal",North-East,1.0,"Park/Garden,Main Road",Immediate,,,,Yes,,
"Residential land / Plot in Huzur, Bhopal",BDA Aerocity Phase 1,₹46.5 Lac,"₹2,000 /sqft","2,324 sqft",(216 sqm),Plot Area,Ready To Move,"968, 1452,2400 sq ft residential & commercial plot's in bda aerocity on most prime location's a-B-C-E-F-G-H-K sectors at very reasonable price We have 60+ plots in all sectors Some garden & corner facing plots It's available in very low market rate. Surroundings - It park (212 acre), commercial hub medical college, rkdf university, rgpv univercity, bhopal airport, nh12 highway All plots are fre...","Plot area 2324
(215.91 sq.m.)  
sq.ft.","₹ 46.5 Lac
@ 2,000 per sq.ft. (Negotiable) View Price Details","BDA Aerocity Phase 1
Huzur, Bhopal",East,1.0,"Park/Garden,Club,Main Road",Immediate,,,,Yes,,
"Residential land / Plot in Huzur, Bhopal",Ultimate Imperial Villas Phase 2,₹46.2 Lac,"₹4,200 /sqft","1,100 sqft",(102 sqm),Plot Area,Under Construction,Plot for sale at ultimate imperial phase 2 1100 sq ft West facing Near rgpv collage and rgpv swimming pool,"Plot area 1100
(102.19 sq.m.)  
sq.ft.","₹ 46.2 Lac
@ 4,200 per sq.ft. (Negotiable)","Ultimate Imperial Villas Phase 2
Huzur, Bhopal",West,1.0,"Park/Garden,Main Road",,,Yes,,Yes,,
"Residential land / Plot in Phanda Kala, Bhopal","Phanda Kala, Bhopal",₹34 Lac,₹618 /sqft,"5,500 sqft",(511 sqm),Plot Area,Ready To Move,"For sale: Prime farmland in gated society phanda kala, bhopal Located just 200 meters off the bhopal-Indore highway, directly opposite nandan resort, this premium farmland is situated within the well-Planned cuboid campus gated society, offering added security and exclusivity. The land is on a cc road with easy access and is surrounded by well-Known landmarks such as aakriti highland, kanha dha...","Plot area 5500
(510.97 sq.m.)  
sq.ft.","₹ 34 Lac
@ 618 per sq.ft. (Negotiable) View Price Details","Phanda Kala, Bhopal",North-East,2.0,Park/Garden,Immediate,,Yes,,,,
"Residential land / Plot in Chuna Bhatti, Bhopal","Chuna Bhatti, Bhopal",₹1.5 Cr,"₹12,096 /sqft","1,240 sqft",(115 sqm),Plot Area,Ready To Move,Plot for sale in chuna bhatti is available in bhopal. This locality resonates with your modern lifestyle. It's a 1240 sq.Ft. Super built up area property. This property allows you to construct upto 3 floors. The property is guarded and secluded by boundary wall around it. Expected possession of property immediately. The type of ownership is freehold. The price of this massive plot is just 1.5 c...,"Plot area 1240
(115.2 sq.m.)
l x b : 40.00 ft.(12.19 mt.) x 31.00 ft.(9.45 mt.)  
sq.ft.","₹ 1.5 Crore
@ 12,096 per sq.ft. View Price Details","Chuna Bhatti, Bhopal",East,3.0,Main Road,Immediate,,,,,,Yes
"Residential land / Plot in Shri Rameshwaram, Bhopal","Shri Rameshwaram, Bhopal",₹72 Lac,"₹6,000 /sqft","1,200 sqft",(111 sqm),Plot Area,Ready To Move,"Check out this plot in shri rameshwaram, bhopal, an ideal destination to build your dream residence. It spans over spectacular 1200 sq.Ft. Super built up area. The property is enclosed by boundary wall. Possession of land can be secured immediately. The property belongs to owner through freehold ownership. This residential plot is all yours for 72 lac. Open for negotiation. This property faces ...","Plot area 1200
(111.48 sq.m.)
l x b : 40.00 ft.(12.19 mt.) x 30.00 ft.(9.14 mt.)  
sq.ft.","₹ 72 Lac
@ 6,000 per sq.ft. (Negotiable) View Price Details","Shri Rameshwaram, Bhopal",East,1.0,,Immediate,Yes,Yes,,,,
"Residential land / Plot in Salaiya, Bhopal",BDA Sardar Vallab Bhai Patel Apsi Karar Yojna,₹1.54 Cr,"₹7,100 /sqft","2,165 sqft",(201 sqm),Plot Area,Ready To Move,"Planning to purchase a plot in bhopal? This plot in salaiya is situated in one of the excellent locations of the city. The plot is around super built up area of 2165 sq.Ft. In size. Here, a solid foundation can easily withhold construction of 3 floors. The possession of the property can be received immediately. The type of ownership is freehold. The price of this massive plot is just 1.54 crore...","Plot area 2165
(201.14 sq.m.)
l x b : 57.00 ft.(17.37 mt.) x 37.00 ft.(11.28 mt.)  
sq.ft.","₹ 1.54 Crore
@ 7,100 per sq.ft. (Negotiable) View Price Details","BDA Sardar Vallab Bhai Patel Apsi Karar Yojna
Salaiya, Bhopal",East,1.0,Park/Garden,Immediate    View Construction Status,,,,,3 Floors,
"Residential land / Plot in Ratibad, Bhopal","Ratibad, Bhopal",₹9.25 Cr,₹425 /sqft,"2,17,800 sqft","(20,234 sqm)",Plot Area,Ready To Move,This is a very good location on the main road for agriculture,"Plot area 5
(20234.3 sq.m.)  
acres","₹ 9.25 Crore
@ 1,85,00,000 per acres View Price Details","Ratibad, Bhopal",East,1.0,,Immediate,No,,40.0 Feet,,,
"Residential land / Plot in Gulmohar Colony, Bhopal","Gulmohar Colony, Bhopal",₹2.4 Cr,"₹8,000 /sqft","3,000 sqft",(279 sqm),Plot Area,Ready To Move,This is very good corner plot in gulmohar bhopal,"Plot area 3000
(278.71 sq.m.)
l x b : 59.00 ft.(17.98 mt.) x 39.00 ft.(11.89 mt.)  
sq.ft.","₹ 2.4 Crore
@ 8,000 per sq.ft. View Price Details","Gulmohar Colony, Bhopal",East,2.0,,Immediate,No,,,,,
"Residential land / Plot in Hoshangabad Road, Bhopal","Hoshangabad Road, Bhopal",₹4.86 Cr,"₹4,500 /sqft","10,800 sqft","(1,003 sqm)",Plot Area,Ready To Move,The farm house is at a very good location on hoshangabad road in bhopal,"Plot area 10800
(1003.35 sq.m.)  
sq.ft.","₹ 4.86 Crore
@ 4,500 per sq.ft. View Price Details","Hoshangabad Road, Bhopal",East,2.0,,Immediate,No,,25.0 Feet,,,
"Residential land / Plot in Arera Colony, Bhopal",Lala Lajpat Rai Society,₹5.13 Cr,"₹9,500 /sqft","5,400 sqft",(502 sqm),Plot Area,Ready To Move,This is very good location for residential plot in arera e-7,"Plot area 5400
(501.68 sq.m.)
l x b : 60.00 ft.(18.29 mt.) x 19.00 ft.(5.79 mt.)  
sq.ft.","₹ 5.13 Crore
@ 9,500 per sq.ft. View Price Details","Lala Lajpat Rai Society
Arera Colony, Bhopal",North,2.0,"Pool,Park/Garden,Club,Main Road,Others",Immediate,No,,,,,
"Residential land / Plot in Salaiya, Bhopal",BDA Sardar Vallab Bhai Patel Apsi Karar Yojna,₹79.5 Lac,"₹5,475 /sqft","1,452 sqft",(135 sqm),Plot Area,Ready To Move,Plot 1452 sqft facing east 25 wide road sector b bda phase 2,"Plot area 1452
(134.9 sq.m.)
l x b : 50.00 ft.(15.24 mt.) x 29.90 ft.(9.11 mt.)  
sq.ft.","₹ 79.5 Lac
@ 5,475 per sq.ft. View Price Details","BDA Sardar Vallab Bhai Patel Apsi Karar Yojna
Salaiya, Bhopal",,1.0,,Immediate    View Construction Status,No,,,,2 Floors,
"Residential land / Plot in Hoshangabad Road, Bhopal","Hoshangabad Road, Bhopal",₹5.5 Cr,"₹2,500 /sqft","22,000 sqft","(2,044 sqm)",Plot Area,Ready To Move,This is a open farm land near golden city hoshangabad (Narmadapuram) road very near to main highway.,"Plot area 22000
(2043.87 sq.m.)  
sq.ft.","₹ 5.5 Crore
@ 2,500 per sq.ft. (Negotiable) View Price Details","Hoshangabad Road, Bhopal",,2.0,Main Road,Immediate,No,,,Yes,,
"Residential land / Plot in Hoshangabad Road, Bhopal","Hoshangabad Road, Bhopal",₹1.5 Cr,"₹2,884 /sqft","5,200 sqft",(483 sqm),Plot Area,Ready To Move,Corner plot situated in indus town hoshangabad road . Gated community.,"Plot area 5200
(483.1 sq.m.)  
sq.ft.","₹ 1.5 Crore
@ 2,884 per sq.ft. (Negotiable) View Price Details","Hoshangabad Road, Bhopal",North-West,2.0,Main Road,Immediate,,,,,,Yes
"Residential land / Plot in Danish Nagar, Bhopal",D3 danish nagar,₹75 Lac,"₹5,000 /sqft","1,500 sqft",(139 sqm),Plot Area,Ready To Move,Plot for sale Area - 1500sqft Dimension - 30x 50 Facing - South facing Rate - 5000 Add - Danish nagar near ashima mall hoshangabad road,"Plot area 1500
(139.35 sq.m.)
l x b : 50.00 ft.(15.24 mt.) x 30.00 ft.(9.14 mt.)  
sq.ft.","₹ 75 Lac
@ 5,000 per sq.ft. (Negotiable) View Price Details","D3 danish nagar
Danish Nagar, Bhopal",South,1.0,Main Road,,,Yes,,Yes,,
"Residential land / Plot in Bagmugaliya, Bhopal",bagmugaliya hoshangabad road,₹70 Lac,"₹7,608 /sqft",920 sqft,(85 sqm),Plot Area,Ready To Move,For sale,"Plot area 920
(85.47 sq.m.)
l x b : 42.00 ft.(12.80 mt.) x 22.00 ft.(6.71 mt.)  
sq.ft.","₹ 70 Lac
@ 7,608 per sq.ft. (Negotiable) View Price Details","bagmugaliya hoshangabad road
Bagmugaliya, Bhopal",South-East,2.0,"Park/Garden,Others,Main Road",,,,,Yes,,Yes
"Residential land / Plot in E 7 Arera colony, Bhopal",railway housing Society,₹1.82 Cr,"₹7,000 /sqft","2,600 sqft",(242 sqm),Plot Area,Ready To Move,Plot available for sale in prime location,"Plot area 2600
(241.55 sq.m.)
l x b : 60.00 ft.(18.29 mt.) x 42.00 ft.(12.80 mt.)  
sq.ft.","₹ 1.82 Crore
@ 7,000 per sq.ft. (Negotiable) View Price Details","railway housing Society
E 7 Arera colony, Bhopal",North,1.0,"Park/Garden,Main Road,Others",Immediate,,Yes,,,,
"Residential land / Plot in Barrai, Bhopal","Barrai, Bhopal",₹3 Cr,₹689 /sqft,"43,500 sqft","(4,041 sqm)",Plot Area,Ready To Move,Great opportunity for buying agricultural land,"Plot area 43500
(4041.28 sq.m.)
l x b : 400.00 ft.(121.91 mt.) x 110.00 ft.(33.53 mt.)  
sq.ft.","₹ 3 Crore
@ 689 per sq.ft. (Negotiable) View Price Details","Barrai, Bhopal",North-West,2.0,"Park/Garden,Main Road,Others",Immediate,,,,,,Yes
"Residential land / Plot in Barrai, Bhopal","Barrai, Bhopal",₹9.45 Cr,₹804 /sqft,"1,17,500 sqft","(10,916 sqm)",Plot Area,Ready To Move,Agricultural land for sale prime location,"Plot area 117500
(10916.11 sq.m.)
l x b : 500.00 ft.(152.39 mt.) x 250.00 ft.(76.20 mt.)  
sq.ft.","₹ 9.45 Crore
@ 804 per sq.ft. (Negotiable) View Price Details","Barrai, Bhopal",North,1.0,"Park/Garden,Others,Main Road",Immediate,,,,,1 Floors,
"Residential land / Plot in Indus Towne, Bhopal","Indus Towne, Bhopal",₹60 Lac,"₹4,000 /sqft","1,500 sqft",(139 sqm),Plot Area,Ready To Move,Residential as well as semicommercial plot near hoshangabad road near kanha fun city,"Plot area 1500
(139.35 sq.m.)
l x b : 50.00 ft.(15.24 mt.) x 30.00 ft.(9.14 mt.)  
sq.ft.","₹ 60 Lac+ Govt Charges & Tax
@ 4,000 per sq.ft. (Negotiable) View Price Details","Indus Towne, Bhopal",North,1.0,"Main Road,Pool",Immediate,,,,,3 Floors,
"Residential land / Plot in Priyanka Nagar, Bhopal","Priyanka Nagar, Bhopal",₹2.75 Cr,"₹2,500 /sqft","11,000 sqft","(1,022 sqm)",Plot Area,Ready To Move,A commercial use farmhouse new kolar dmart near six lane road,"Plot area 11000
(1021.93 sq.m.)
l x b : 110.00 ft.(33.53 mt.) x 100.00 ft.(30.48 mt.)  
sq.ft.","₹ 2.75 Crore
@ 2,500 per sq.ft. View Price Details","Priyanka Nagar, Bhopal",East,1.0,,Immediate,Yes,,25.0 Feet,,,
"Residential land / Plot in Jatkhedi, Bhopal","Jatkhedi, Bhopal",₹51 Lac,"₹3,400 /sqft","1,500 sqft",(139 sqm),Plot Area,Ready To Move,Plot for sale 1500 sqr fit west south corner rohit nagar phase 3 jatkhedi near hb road With noc,"Plot area 1500
(139.35 sq.m.)
l x b : 50.00 ft.(15.24 mt.) x 30.00 ft.(9.14 mt.)  
sq.ft.","₹ 51 Lac
@ 3,400 per sq.ft. View Price Details","Jatkhedi, Bhopal",South-West,2.0,Park/Garden,Immediate,,,,,2 Floors,
"Residential land / Plot in E 7 Arera colony, Bhopal","E 7 Arera colony, Bhopal",₹5 Cr,"₹17,857 /sqft","2,800 sqft",(260 sqm),Plot Area,Ready To Move,2800 sq.Ft semi commercial corner plot available for sale at e-7 arera colony,"Plot area 2800
(260.13 sq.m.)
l x b : 70.00 ft.(21.33 mt.) x 40.00 ft.(12.19 mt.)  
sq.ft.","₹ 5 Crore
@ 17,857 per sq.ft. View Price Details","E 7 Arera colony, Bhopal",North-East,2.0,Main Road,Immediate,,Yes,,,,
"Residential land / Plot in Danish Kunj, Bhopal","Danish Kunj, Bhopal",₹1.26 Cr,"₹6,000 /sqft","2,100 sqft",(195 sqm),Plot Area,Ready To Move,"Danish kunj a rapidly growing location in bhopal Danish kunj is one of the fastest developing areas of bhopal, offering excellent scope for both residential and commercial investment. With wide roads, planned colonies, and modern infrastructure, the locality ensures a balanced lifestyle. Property details: * plot size: 2100 sq.Ft (35x60) * facing: South * suitable for both residential & commerci...","Plot area 2100
(195.1 sq.m.)
l x b : 60.00 ft.(18.29 mt.) x 35.00 ft.(10.67 mt.)  
sq.ft.","₹ 1.26 Crore
@ 6,000 per sq.ft. View Price Details","Danish Kunj, Bhopal",West,1.0,Main Road,Immediate,,,,Yes,,
"Residential land / Plot in Kolar Road, Bhopal",Danish Hills View,₹78 Lac,"₹6,500 /sqft","1,200 sqft",(111 sqm),Plot Area,Ready To Move,Plot for sale 1200 sqft danish hills view kolar road bhopal ki prime location,"Plot area 1200
(111.48 sq.m.)
l x b : 40.00 ft.(12.19 mt.) x 30.00 ft.(9.14 mt.)  
sq.ft.","₹ 78 Lac
@ 6,500 per sq.ft. (Negotiable)","Danish Hills View
Kolar Road, Bhopal",North,2.0,"Pool,Park/Garden,Club,Main Road,Others",,,Yes,,Yes,,
"Residential land / Plot in Kolar Road, Bhopal",Danish Hills View,₹65 Lac,"₹6,500 /sqft","1,000 sqft",(93 sqm),Plot Area,Ready To Move,This is very nice property three side green view covered campus all amenities,"Plot area 1000
(92.9 sq.m.)
l x b : 40.00 ft.(12.19 mt.) x 25.00 ft.(7.62 mt.)  
sq.ft.","₹ 65 Lac+ Govt Charges & Tax
@ 6,500 per sq.ft. (Negotiable)","Danish Hills View
Kolar Road, Bhopal",North,1.0,"Park/Garden,Club,Main Road,Pool",Immediate,,Yes,,,,
"Residential land / Plot in E 6 Arera Colony, Bhopal","E 6 Arera Colony, Bhopal",₹6.75 Cr,"₹24,107 /sqft","2,800 sqft",(260 sqm),Plot Area,Ready To Move,"Spacious, ready to build plot in e 6 arera colony, bhopal. It spans over spectacular 4500 sq.Ft. Super built up area. Up to 2 floors can be easily built on this land. Possession of land can be secured immediately. Currently the nature of ownership of the property is freehold. The expected price for the property is just 6.75 crore.","Plot area 2800
(260.13 sq.m.)
l x b : 70.00 ft.(21.33 mt.) x 40.00 ft.(12.19 mt.)  
sq.ft.","₹ 6.75 Crore
@ 24,107 per sq.ft. View Price Details","E 6 Arera Colony, Bhopal",,2.0,,Immediate,No,,,Yes,,
"Residential land / Plot in E 4 Arera Colony, Bhopal","E 4 Arera Colony, Bhopal",₹8 Cr,"₹20,000 /sqft","4,000 sqft",(372 sqm),Plot Area,Ready To Move,"E 4 arera colony is an ideal location for buying residential plots in bhopal. This plot in e 4 arera colony is a great buy for you. It spans over spectacular 4000 sq.Ft. Super built up area. Construction on this property can be easily done upto 3 floors. Boundary wall is already constructed to separate the plot from nearby properties. Immediately, possession of property can be transferred. Curr...","Plot area 4000
(371.61 sq.m.)
l x b : 50.00 ft.(15.24 mt.) x 8.00 ft.(2.44 mt.)  
sq.ft.","₹ 8 Crore
@ 20,000 per sq.ft. (Negotiable) View Price Details","E 4 Arera Colony, Bhopal",West,1.0,Main Road,Immediate,,Yes,,,,
"Residential land / Plot in Good Shepherd Colony, Bhopal","Good Shepherd Colony, Bhopal",₹1.25 Cr,"₹5,952 /sqft","2,100 sqft",(195 sqm),Plot Area,Ready To Move,"Plot for sale in good shepherd colony is available in bhopal. This locality resonates with your modern lifestyle. It spreads over 2100 sq.Ft. Super built up area. Ownership of this property provides you entitlement to construct upto 2 floors. To build the residence, possession is expected immediately. The property belongs to owner through freehold ownership. This residential plot is all yours f...","Plot area 2100
(195.1 sq.m.)
l x b : 60.00 ft.(18.29 mt.) x 35.00 ft.(10.67 mt.)  
sq.ft.","₹ 1.25 Crore
@ 5,952 per sq.ft. View Price Details","Good Shepherd Colony, Bhopal",,2.0,,Immediate,No,,,Yes,2 Floors,
"Residential land / Plot in sahra by pass, Bhopal","sahra by pass, Bhopal",₹5.25 Cr,"₹1,500 /sqft","35,000 sqft","(3,252 sqm)",Plot Area,Ready To Move,"To build a splendid residence, this plot in sahra by pass, bhopal is the best fit for you. It spreads over 35000 sq.Ft. Super built up area. This property allows you to construct upto 3 floors. Expected possession of property immediately. Currently the nature of ownership of the property is leasehold. The expected price for the property is just 5.25 crore. This plot is facing the north direction.","Plot area 35000
(3251.61 sq.m.)
l x b : 500.00 ft.(152.39 mt.) x 70.00 ft.(21.33 mt.)  
sq.ft.","₹ 5.25 Crore
@ 1,500 per sq.ft. View Price Details","sahra by pass, Bhopal",North,2.0,,Immediate,,,,Yes,3 Floors,
"Residential land / Plot in Kolar Road, Bhopal","Kolar Road, Bhopal",₹3 Cr,"₹3,000 /sqft","10,000 sqft",(929 sqm),Plot Area,Ready To Move,"Check out this plot for sale in kolar road, one of the best locations in bhopal. It spreads over 10000 sq.Ft. Super built up area. This property allows you to construct upto 4 floors. The property is guarded and secluded by boundary wall around it. Expected possession of property immediately. The owner of the property has freehold entitlement over the land. The asking price is only 3 crore.","Plot area 10000
(929.03 sq.m.)
l x b : 100.00 ft.(30.48 mt.) x 10.00 ft.(3.05 mt.)  
sq.ft.","₹ 3 Crore
@ 3,000 per sq.ft. View Price Details","Kolar Road, Bhopal",,2.0,,Immediate,Yes,,,,4 Floors,
"Residential land / Plot in sahara by pass, Bhopal","sahara by pass, Bhopal",₹4.2 Cr,"₹1,200 /sqft","35,000 sqft","(3,252 sqm)",Plot Area,Ready To Move,Looking for a plot in a prime location of bhopal? This plot in sahara by pass is the best deal for you. The plot is around super built up area of 35000 sq.Ft. In size. Up to 2 floors can be easily built on this land. Possession of land can be secured immediately. The property is owned under freehold contract. The plot is available at a price of 4.2 crore.,"Plot area 35000
(3251.61 sq.m.)
l x b : 350.00 ft.(106.67 mt.) x 100.00 ft.(30.48 mt.)  
sq.ft.","₹ 4.2 Crore
@ 1,200 per sq.ft. View Price Details","sahara by pass, Bhopal",,2.0,,Immediate,No,,,,2 Floors,
"Residential land / Plot in Bawadia Kalan, Bhopal",Crystal Smart City,₹2.4 Cr,"₹13,333 /sqft","1,800 sqft",(167 sqm),Plot Area,Ready To Move,Looking for a plot in a prime location of bhopal? This plot in bawadia kalan is the best deal for you. It's a 1800 sq.Ft. Super built up area property. Up to 2 floors can be easily built on this land. Possession of land can be secured immediately. The property is owned under freehold contract. The plot is available at a price of 2.25 crore. The residential plot is west-Facing.,"Plot area 1800
(167.23 sq.m.)
l x b : 60.00 ft.(18.29 mt.) x 30.00 ft.(9.14 mt.)  
sq.ft.","₹ 2.4 Crore
@ 13,333 per sq.ft. View Price Details","Crystal Smart City
Bawadia Kalan, Bhopal",West,1.0,"Others,Club,Park/Garden",,,Yes,,Yes,,
